day,dates,races,cities
Saturday,2024-09-07,"Pirate 1M, 5K, 10K, 15K, & Half Marathon","Bel Air, MD"
Saturday,2024-09-14,"Pirate 1M, 5K, 10K, 15K, and Half Marathon","Rocky Mount, NC"
Saturday,2024-09-07,"Ninja 1M, 5K, 10K, 15K, & Half Marathon","Westminster, MD"
Saturday,2024-09-07,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2024-09-07,BRRC GPS Half Marathon,"Sparks, MD"
Saturday,2024-09-14,Cary Greenways Tour,"Cary, NC"
Saturday,2024-09-28,Georgetown Half Marathon,"Washington, DC"
Sunday,2024-09-29,Harrisonburg Half Marathon,"Harrisonburg, VA"
Saturday,2024-10-05,High Bridge Half,"Farmville, VA"
Saturday,2024-10-05,"Pirate 1M, 5K, 10K, 15K, & Half Marathon","Williamsburg, VA"
Saturday,2024-10-05,Run The Crest,"Wildwood Crest, NJ"
Saturday,2024-10-05,Bear Trail Half Marathon and 10K,"Bear, DE"
Saturday,2024-10-05,Crawlin' Crab Half Marathon,"Hampton, VA"
Saturday,2024-10-05,Historic Hillsborough Half Marathon,"Hillsborough, NC"
Sunday,2024-10-06,Pocahontas Trail Festival,"Chesterfield, VA"
Sunday,2024-10-06,Conquer the Mountain,"Basye, VA"
Sunday,2024-10-06,Danville Half Marathon,"Danville, VA"
Sunday,2024-10-06,Racin' to Beat Cancer Half,"Fairfax Station, VA"
Saturday,2024-10-12,Chestertown Challenge Half Marathon,"Chestertown, MD"
Saturday,2024-10-12,Baltimore Running Festival,"Baltimore, MD"
Saturday,2024-10-12,Deep Hollow Half Marathon,"Lynchburg, VA"
Sunday,2024-10-13,Ironclad Half Marathon,"Kinston, NC"
Saturday,2024-10-19,Mathews Marathon,"Mathews, VA"
Saturday,2024-09-07,"Pirate 1M, 5K, 10K, 15K, & Half Marathon","Bel Air, MD"
Saturday,2024-09-14,"Pirate 1M, 5K, 10K, 15K, and Half Marathon","Rocky Mount, NC"
Saturday,2024-09-07,"Ninja 1M, 5K, 10K, 15K, & Half Marathon","Westminster, MD"
Saturday,2024-09-07,Potomac River Run Marathon,"Washington, DC"
Saturday,2024-09-07,Rootrock Trail Run,"Chapel Hill, NC"
Saturday,2024-09-14,Those Damned Hills Half,"Lorton, VA"
Saturday,2024-10-19,Atlantic City Marathon,"Atlantic City, NJ"
Saturday,2024-10-19,Bull City Race Fest,"Durham, NC"
Saturday,2024-10-19,Charlottesville Fall Classic Half Marathon,"Charlottesville, VA"
Sunday,2024-10-20,Chessie Trail Marathon,"Lexington, VA"
Sunday,2024-10-20,Emerald Isle Marathon,"Emerald Isle, NC"
Sunday,2024-10-20,Hallowed Half Marathon,"Cape May, NJ"
Saturday,2024-10-26,Jamestown Half Marathon,"Williamsburg, VA"
Saturday,2024-10-26,"Luau 1M, 5K, 10K, 15K, and Half Marathon","Colonial Heights, VA"
Saturday,2024-10-26,Seawitch Fall Half Marathon,"Lewes, DE"
Saturday,2024-10-26,Semper Fi 5k & Half,"Washington, DC"
Saturday,2024-10-26,RDC Marathon,"Durham, NC"
Saturday,2024-10-26,5 Mile Beach Half Marathon at Wildwood Crest,"Wildwood Crest, NJ"
Saturday,2024-10-26,Cozy Toes,"Raleigh, NC"
Sunday,2024-10-27,Ocean City Running Festival,"Ocean City, MD"
Saturday,2024-11-02,"Pirate 1M, 5K, 10K, 15K, & Half Marathon","Williamsburg, VA"
